video_id,duration,duration_seconds
3oXhLdeuxDw,PT47S,47.0
luZEZgZNFAg,PT4M7S,247.0
zOgle88sKro,PT2M30S,150.0
YkLzdHTv3G0,PT2M24S,144.0
FZ_jNGKCIWs,PT5M12S,312.0
G_UHknhNbAQ,PT9M36S,576.0
iBy6XRHPODQ,PT3M30S,210.0
dLRZTBtdMUg,PT4M21S,261.0
vNya04dlC4I,PT1M54S,114.0
ZkPSbp3zTfo,PT3M21S,201.0
euaGS3tPRBw,PT5M26S,326.0
X_tYrnv_o6A,PT6M21S,381.0
FaJmopuuhZE,PT3M32S,212.0
iatq3Rn4vsg,PT6M30S,390.0
TIQqb80eg24,PT3M20S,200.0
f45Va7jMSx4,PT2M14S,134.0
qv9Gt38LOKQ,PT5M4S,304.0
r4a5ZzHclCs,PT5M,300.0
Kn5UgGQukYQ,PT3M18S,198.0
uLHygq6Mm-0,PT1M1S,61.0
aD5dCMBeySA,PT4M54S,294.0
U44YLdW9AL4,PT14M2S,842.0
Djxjmq9pvrM,PT13M30S,810.0
KQkkgD2p3Ow,PT4M26S,266.0
j7I-d1B6HwE,PT2M43S,163.0
VMRIc4ayRlM,PT43M34S,2614.0
6SjslBAJkJI,PT3M51S,231.0
WeOwqu6gOPs,PT5M31S,331.0
F86S9Uc4mP4,PT2M10S,130.0
ZvdTNDMru78,PT2M11S,131.0
Q1EgRiVdT5w,PT3M32S,212.0
nenhv6uTdmw,PT9M22S,562.0
c8DogLWrs90,PT2M45S,165.0
jPkRGHivRD8,PT8M39S,519.0
wPib0uRFmC0,PT3M29S,209.0
b6fepBtNgVM,PT2M58S,178.0
k_YtadXMmD4,PT18S,18.0
3jtjkXSvuJw,PT2M22S,142.0
D-dwmYeLLng,PT3M55S,235.0
P1-UTlnjeVg,PT14M15S,855.0
JYnNlHQzYTY,PT8M37S,517.0
p3MjsrMNCbU,PT8M58S,538.0
_EvMYEfF_hQ,PT7M11S,431.0
EBt_88nxG4c,PT4M58S,298.0
G4BxOhJOmUw,PT7M24S,444.0
-SIp6xSP7ds,PT3M19S,199.0
0Rt329xQUjM,PT13M49S,829.0
OU9IwxU7N78,PT5M56S,356.0
vkHGedqmIPc,PT3M8S,188.0
CxC161GvMPc,PT4M58S,298.0
eZQdQ5pV6EE,PT11M22S,682.0
4L-BPQVZYXM,PT10M33S,633.0
6NAISxSPVSQ,PT2M39S,159.0
G_Pu00NmJfg,PT9M42S,582.0
0dSR-9mtuzk,PT2M44S,164.0
80GNn_eIOhI,PT9M57S,597.0
OPaybxgucww,PT5M18S,318.0
uU3kLBo_ruo,PT11M9S,669.0
bAfn2duIlN8,PT15M10S,910.0
aZdkR_WhA5Q,PT6M47S,407.0
BQC09Mdn24w,PT11M9S,669.0
EbuCLC_wVlM,PT2M49S,169.0
fbL1ZoAQgUU,PT3M16S,196.0
